sent_num	file	path	ctx_nodes	sentence
4	Royal_Society_Corpus_open_v6.0_text_109783_1800.txt	chi_det	the/D	Since sulphuric acid has no affinity for the sulphuret , it has no effect in adding to the degree of cold produced upon the principle upon which that is employed by Mr. Leslie , excepting in so far as it removes any moisture that may be present in the air , and which in some measure impedes the process until it is converted into a hoar frost , that may be seen adherent to the bulb of the thermometer .
4	Royal_Society_Corpus_open_v6.0_text_109783_1800.txt	pa_obl	present/A	Since sulphuric acid has no affinity for the sulphuret , it has no effect in adding to the degree of cold produced upon the principle upon which that is employed by Mr. Leslie , excepting in so far as it removes any moisture that may be present in the air , and which in some measure impedes the process until it is converted into a hoar frost , that may be seen adherent to the bulb of the thermometer .
5	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	chi_case	in/A	When hair of various qualities , and taken from different animals , was long digested or boiled with distilled water , it imparted to the water a small portion of gelatin , which was precipitated by the tanning principle , and by nitro - muriate of tin ; and , when the hair had been thus deprived of gelatin , and was subsequently dried in the air , the original flexibility and elasticity of it was found to be much diiainished , so that it easily gave way , and was broken .
5	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	chi_det	the/D	When hair of various qualities , and taken from different animals , was long digested or boiled with distilled water , it imparted to the water a small portion of gelatin , which was precipitated by the tanning principle , and by nitro - muriate of tin ; and , when the hair had been thus deprived of gelatin , and was subsequently dried in the air , the original flexibility and elasticity of it was found to be much diiainished , so that it easily gave way , and was broken .
5	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	pa_obl	dry/V	When hair of various qualities , and taken from different animals , was long digested or boiled with distilled water , it imparted to the water a small portion of gelatin , which was precipitated by the tanning principle , and by nitro - muriate of tin ; and , when the hair had been thus deprived of gelatin , and was subsequently dried in the air , the original flexibility and elasticity of it was found to be much diiainished , so that it easily gave way , and was broken .
6	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	chi_case	in/A	Shavings and pieces of the horns of different animals were next subjected to experiment , and all afforded small quantities of gelatin , which was precipitated by the tanning principle , and by nitro - muriate of tin ; and it was generally observed , that the more flexible horns yielded the largest quantity of gelatin , with the greatest ease ; and , ( like the substances already mentioned , ) - when deprived of it , and suffered to dry spontaneously in the - air , they became more rigid , and were easily broken .
6	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	chi_det	the/D	Shavings and pieces of the horns of different animals were next subjected to experiment , and all afforded small quantities of gelatin , which was precipitated by the tanning principle , and by nitro - muriate of tin ; and it was generally observed , that the more flexible horns yielded the largest quantity of gelatin , with the greatest ease ; and , ( like the substances already mentioned , ) - when deprived of it , and suffered to dry spontaneously in the - air , they became more rigid , and were easily broken .
6	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	pa_obl	dry/V	Shavings and pieces of the horns of different animals were next subjected to experiment , and all afforded small quantities of gelatin , which was precipitated by the tanning principle , and by nitro - muriate of tin ; and it was generally observed , that the more flexible horns yielded the largest quantity of gelatin , with the greatest ease ; and , ( like the substances already mentioned , ) - when deprived of it , and suffered to dry spontaneously in the - air , they became more rigid , and were easily broken .
7	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	chi_case	in/A	So much has been said already , in various parts of this paper , tending to prove how much the degrees of flexibility and elas - M ticity , in various animal substances , depend on their gelatinous part , that little need be added ; and , when it is considered , that bodies such as muscular fibre , membrane , sponge , hair , and cuticle , being deprived of gelatin , and dried in the air , become rigid and brittle , no doubt can be entertained but that this arises from the loss of the gelatinous substance ; and , as an additional proof , when bodies such as nail , feather , quill , and tortoise - shell ( which contain little or no gelatin ) are long boiled , and then dried in the air , like the former , they are found to have suffered scarcely any alteration in their respective degrees of flexibility and elasticity .
7	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	chi_det	the/D	So much has been said already , in various parts of this paper , tending to prove how much the degrees of flexibility and elas - M ticity , in various animal substances , depend on their gelatinous part , that little need be added ; and , when it is considered , that bodies such as muscular fibre , membrane , sponge , hair , and cuticle , being deprived of gelatin , and dried in the air , become rigid and brittle , no doubt can be entertained but that this arises from the loss of the gelatinous substance ; and , as an additional proof , when bodies such as nail , feather , quill , and tortoise - shell ( which contain little or no gelatin ) are long boiled , and then dried in the air , like the former , they are found to have suffered scarcely any alteration in their respective degrees of flexibility and elasticity .
7	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	pa_obl	dry/V	So much has been said already , in various parts of this paper , tending to prove how much the degrees of flexibility and elas - M ticity , in various animal substances , depend on their gelatinous part , that little need be added ; and , when it is considered , that bodies such as muscular fibre , membrane , sponge , hair , and cuticle , being deprived of gelatin , and dried in the air , become rigid and brittle , no doubt can be entertained but that this arises from the loss of the gelatinous substance ; and , as an additional proof , when bodies such as nail , feather , quill , and tortoise - shell ( which contain little or no gelatin ) are long boiled , and then dried in the air , like the former , they are found to have suffered scarcely any alteration in their respective degrees of flexibility and elasticity .
8	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	chi_case	in/A	So much has been said already , in various parts of this paper , tending to prove how much the degrees of flexibility and elas - M ticity , in various animal substances , depend on their gelatinous part , that little need be added ; and , when it is considered , that bodies such as muscular fibre , membrane , sponge , hair , and cuticle , being deprived of gelatin , and dried in the air , become rigid and brittle , no doubt can be entertained but that this arises from the loss of the gelatinous substance ; and , as an additional proof , when bodies such as nail , feather , quill , and tortoise - shell ( which contain little or no gelatin ) are long boiled , and then dried in the air , like the former , they are found to have suffered scarcely any alteration in their respective degrees of flexibility and elasticity .
8	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	chi_det	the/D	So much has been said already , in various parts of this paper , tending to prove how much the degrees of flexibility and elas - M ticity , in various animal substances , depend on their gelatinous part , that little need be added ; and , when it is considered , that bodies such as muscular fibre , membrane , sponge , hair , and cuticle , being deprived of gelatin , and dried in the air , become rigid and brittle , no doubt can be entertained but that this arises from the loss of the gelatinous substance ; and , as an additional proof , when bodies such as nail , feather , quill , and tortoise - shell ( which contain little or no gelatin ) are long boiled , and then dried in the air , like the former , they are found to have suffered scarcely any alteration in their respective degrees of flexibility and elasticity .
8	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	pa_obl	dry/V	So much has been said already , in various parts of this paper , tending to prove how much the degrees of flexibility and elas - M ticity , in various animal substances , depend on their gelatinous part , that little need be added ; and , when it is considered , that bodies such as muscular fibre , membrane , sponge , hair , and cuticle , being deprived of gelatin , and dried in the air , become rigid and brittle , no doubt can be entertained but that this arises from the loss of the gelatinous substance ; and , as an additional proof , when bodies such as nail , feather , quill , and tortoise - shell ( which contain little or no gelatin ) are long boiled , and then dried in the air , like the former , they are found to have suffered scarcely any alteration in their respective degrees of flexibility and elasticity .
9	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	chi_case	to/A	When boiled with lixivium of caustic potash , this muscular fibre was completely dissolved ; ammoniac was discharged , and animal soap Iwas formed ; which , being diluted with water , and saturated with muriatic acid , yielded a precipitate , similar in every property to that which had been obtained from the animal soaps formerly mentioned , excepting , that it sooner became hard and glossy , when exposed to the air . *
9	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	chi_det	the/D	When boiled with lixivium of caustic potash , this muscular fibre was completely dissolved ; ammoniac was discharged , and animal soap Iwas formed ; which , being diluted with water , and saturated with muriatic acid , yielded a precipitate , similar in every property to that which had been obtained from the animal soaps formerly mentioned , excepting , that it sooner became hard and glossy , when exposed to the air . *
9	Royal_Society_Corpus_open_v6.0_text_107059_1800.txt	pa_obl	expose/V	When boiled with lixivium of caustic potash , this muscular fibre was completely dissolved ; ammoniac was discharged , and animal soap Iwas formed ; which , being diluted with water , and saturated with muriatic acid , yielded a precipitate , similar in every property to that which had been obtained from the animal soaps formerly mentioned , excepting , that it sooner became hard and glossy , when exposed to the air . *
10	Royal_Society_Corpus_open_v6.0_text_107057_1800.txt	chi_case	of/A	Here the several indications of the thermometers , two of which , No. i and 2 , were used as variable , while the 3d was kept as the standard , were read off during a time that lasted 12 minutes , ; but they afford , as may be seen by inspection , no ground for ascribing any of their small changes to other causes than the accidental disturbance which will arise from the motion . of the air , in a room where some employment is carried on .
10	Royal_Society_Corpus_open_v6.0_text_107057_1800.txt	chi_det	the/D	Here the several indications of the thermometers , two of which , No. i and 2 , were used as variable , while the 3d was kept as the standard , were read off during a time that lasted 12 minutes , ; but they afford , as may be seen by inspection , no ground for ascribing any of their small changes to other causes than the accidental disturbance which will arise from the motion . of the air , in a room where some employment is carried on .
10	Royal_Society_Corpus_open_v6.0_text_107057_1800.txt	pa_obl	arise/V	Here the several indications of the thermometers , two of which , No. i and 2 , were used as variable , while the 3d was kept as the standard , were read off during a time that lasted 12 minutes , ; but they afford , as may be seen by inspection , no ground for ascribing any of their small changes to other causes than the accidental disturbance which will arise from the motion . of the air , in a room where some employment is carried on .
11	Royal_Society_Corpus_open_v6.0_text_107126_1802.txt	chi_case	through/A	It must however be observed , that the colours are not produced in the whole light that is transmitted through the mediums : a small portion only of each pencil , passing through the water contiguous to the edges of the particle , is sufficiently coincident with the light transmitted by the neighbouring portions of air , to produce the necessary interference ; and it is easy to show that , on account of the natural concavity of the surface of each portion of the fluid adhering to the two pieces of glass , a considerable portion of the light which is beginning to pass through the water will be dissipated laterally by reflection at its entrance , and that much of the light passing through the air will be scattered by refraction at the second surface .
11	Royal_Society_Corpus_open_v6.0_text_107126_1802.txt	chi_det	the/D	It must however be observed , that the colours are not produced in the whole light that is transmitted through the mediums : a small portion only of each pencil , passing through the water contiguous to the edges of the particle , is sufficiently coincident with the light transmitted by the neighbouring portions of air , to produce the necessary interference ; and it is easy to show that , on account of the natural concavity of the surface of each portion of the fluid adhering to the two pieces of glass , a considerable portion of the light which is beginning to pass through the water will be dissipated laterally by reflection at its entrance , and that much of the light passing through the air will be scattered by refraction at the second surface .
11	Royal_Society_Corpus_open_v6.0_text_107126_1802.txt	pa_obl	pass/V	It must however be observed , that the colours are not produced in the whole light that is transmitted through the mediums : a small portion only of each pencil , passing through the water contiguous to the edges of the particle , is sufficiently coincident with the light transmitted by the neighbouring portions of air , to produce the necessary interference ; and it is easy to show that , on account of the natural concavity of the surface of each portion of the fluid adhering to the two pieces of glass , a considerable portion of the light which is beginning to pass through the water will be dissipated laterally by reflection at its entrance , and that much of the light passing through the air will be scattered by refraction at the second surface .
12	Royal_Society_Corpus_open_v6.0_text_107126_1802.txt	chi_case	through/A	And , if we remove the plates to a considerable distance out of this line , the rings are still visible , and become larger than before ; for here the actual route of the light passing through the air , is longer than that of the light passing more obliquely through the water , and the difference in the times of passage - is lessened .
12	Royal_Society_Corpus_open_v6.0_text_107126_1802.txt	chi_det	the/D	And , if we remove the plates to a considerable distance out of this line , the rings are still visible , and become larger than before ; for here the actual route of the light passing through the air , is longer than that of the light passing more obliquely through the water , and the difference in the times of passage - is lessened .
12	Royal_Society_Corpus_open_v6.0_text_107126_1802.txt	pa_obl	pass/V	And , if we remove the plates to a considerable distance out of this line , the rings are still visible , and become larger than before ; for here the actual route of the light passing through the air , is longer than that of the light passing more obliquely through the water , and the difference in the times of passage - is lessened .
13	Royal_Society_Corpus_open_v6.0_text_107053_1800.txt	chi_case	to/A	"That it is extremely deliquescent , and , ' when exposed to the air , soon absorbs moisture sufficient to dissolve a part of the alkali ; in consequence of which , the charcoal becomes exposed , and the whole assumes a black or very dark colour . "" Mr. CRUICKSHANK likewise informs me , that after the combustion of good gunpowder under mercury , no water is ever perceptible ."
13	Royal_Society_Corpus_open_v6.0_text_107053_1800.txt	chi_det	the/D	"That it is extremely deliquescent , and , ' when exposed to the air , soon absorbs moisture sufficient to dissolve a part of the alkali ; in consequence of which , the charcoal becomes exposed , and the whole assumes a black or very dark colour . "" Mr. CRUICKSHANK likewise informs me , that after the combustion of good gunpowder under mercury , no water is ever perceptible ."
13	Royal_Society_Corpus_open_v6.0_text_107053_1800.txt	pa_obl	expose/V	"That it is extremely deliquescent , and , ' when exposed to the air , soon absorbs moisture sufficient to dissolve a part of the alkali ; in consequence of which , the charcoal becomes exposed , and the whole assumes a black or very dark colour . "" Mr. CRUICKSHANK likewise informs me , that after the combustion of good gunpowder under mercury , no water is ever perceptible ."
14	Royal_Society_Corpus_open_v6.0_text_107118_1802.txt	chi_case	through/A	In the adjacent villages , the sounds heard were taken forguns at sea ; but , at two adjoining villages , were so distinct of something singular passing through the air , towards the habitation of Mr. TOPHAM , that five or six people came up , to see if any thing extraordinary had happened to his house or grounds .
14	Royal_Society_Corpus_open_v6.0_text_107118_1802.txt	chi_det	the/D	In the adjacent villages , the sounds heard were taken forguns at sea ; but , at two adjoining villages , were so distinct of something singular passing through the air , towards the habitation of Mr. TOPHAM , that five or six people came up , to see if any thing extraordinary had happened to his house or grounds .
14	Royal_Society_Corpus_open_v6.0_text_107118_1802.txt	pa_obl	pass/V	In the adjacent villages , the sounds heard were taken forguns at sea ; but , at two adjoining villages , were so distinct of something singular passing through the air , towards the habitation of Mr. TOPHAM , that five or six people came up , to see if any thing extraordinary had happened to his house or grounds .
15	Royal_Society_Corpus_open_v6.0_text_107067_1803.txt	chi_case	in/A	This solution was precipitated by carbonate of soda , and the filtered liquor let exhale slowly in the air ; but it furnished only crystals of muriate of soda . e. to grs .
15	Royal_Society_Corpus_open_v6.0_text_107067_1803.txt	chi_det	the/D	This solution was precipitated by carbonate of soda , and the filtered liquor let exhale slowly in the air ; but it furnished only crystals of muriate of soda . e. to grs .
15	Royal_Society_Corpus_open_v6.0_text_107067_1803.txt	pa_obl	exhale/V	This solution was precipitated by carbonate of soda , and the filtered liquor let exhale slowly in the air ; but it furnished only crystals of muriate of soda . e. to grs .
16	Royal_Society_Corpus_open_v6.0_text_107067_1803.txt	chi_case	in/A	These crystals were permanent in the air , and no other kind of salt could be perceived amongst them .
16	Royal_Society_Corpus_open_v6.0_text_107067_1803.txt	chi_det	the/D	These crystals were permanent in the air , and no other kind of salt could be perceived amongst them .
16	Royal_Society_Corpus_open_v6.0_text_107067_1803.txt	pa_obl	permanent/A	These crystals were permanent in the air , and no other kind of salt could be perceived amongst them .
17	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	chi_case	than/A	As I was at that time unprovided with instruments of any kind , I had it not in my power to estimate the quantity of refraction , or temperatures ; and can only say that , to my hand , the water felt in an uncommon degree warmer than the air .
17	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	chi_det	the/D	As I was at that time unprovided with instruments of any kind , I had it not in my power to estimate the quantity of refraction , or temperatures ; and can only say that , to my hand , the water felt in an uncommon degree warmer than the air .
17	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	pa_obl	warm/A	As I was at that time unprovided with instruments of any kind , I had it not in my power to estimate the quantity of refraction , or temperatures ; and can only say that , to my hand , the water felt in an uncommon degree warmer than the air .
18	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	chi_case	than/A	The water was 9 j ? warmer than the air , and I found a refraction of about 4 ' . Oct. 17 . The difference of temperature was ? , and the refraction ' . Oct. 22 .
18	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	chi_det	the/D	The water was 9 j ? warmer than the air , and I found a refraction of about 4 ' . Oct. 17 . The difference of temperature was ? , and the refraction ' . Oct. 22 .
18	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	pa_obl	warm/A	The water was 9 j ? warmer than the air , and I found a refraction of about 4 ' . Oct. 17 . The difference of temperature was ? , and the refraction ' . Oct. 22 .
19	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	chi_case	than/A	The water was ii- ? warmer than the air , yet the quantity of refraction did not exceed 3 ' .
19	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	chi_det	the/D	The water was ii- ? warmer than the air , yet the quantity of refraction did not exceed 3 ' .
19	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	pa_obl	warm/A	The water was ii- ? warmer than the air , yet the quantity of refraction did not exceed 3 ' .
20	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	chi_case	to/A	The smallness of the quantity of refraction upon this occasion , I attributed to the dryness of the atmosphere , conjecturing that a rapid evaporation might in great measre counteract that warmth which the water would otherwise have communicated to the air .
20	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	chi_det	the/D	The smallness of the quantity of refraction upon this occasion , I attributed to the dryness of the atmosphere , conjecturing that a rapid evaporation might in great measre counteract that warmth which the water would otherwise have communicated to the air .
20	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	pa_obl	communicate/V	The smallness of the quantity of refraction upon this occasion , I attributed to the dryness of the atmosphere , conjecturing that a rapid evaporation might in great measre counteract that warmth which the water would otherwise have communicated to the air .
21	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	chi_case	than/A	Water Difference . , Refraction . evaporation . meter , 1800 . Sept. i 57 69o 3 . I 4 ' 72 Oct. 17 46349 -3 3 72 22 38 49i2 : 13 67 Nov. i 41 445 ? ? 4i 8x8 76 4 4 : 4341 46 i . 3 3-72 5 37 45 88 + : i 69 12 2 44 -3 48 ? ? 2 4 ; i+32 73 13 4 i ? ? 4413 41 '5 i 76 t8o1 . June3 $ o69+5 65 22i 55 6 i 666+6 65 23 , 55 62 764 65 24 F i 55 6i653 67 Sept. 86 64 472 78 9r 64 64t 53 74 6 o 4 64i4 74 10o 58 64:6 72 70 12 o clock , 10 6 64 i , t 4 ' 10 From a review of the preceding Table it will be found , upon the whole , that when the water is warmer than the air , some increase of depression of the horizon may be expected ; but 7 that its quantity will be greatly influenced , and in general diminished , by dryness of the atmosphere .
21	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	chi_det	the/D	Water Difference . , Refraction . evaporation . meter , 1800 . Sept. i 57 69o 3 . I 4 ' 72 Oct. 17 46349 -3 3 72 22 38 49i2 : 13 67 Nov. i 41 445 ? ? 4i 8x8 76 4 4 : 4341 46 i . 3 3-72 5 37 45 88 + : i 69 12 2 44 -3 48 ? ? 2 4 ; i+32 73 13 4 i ? ? 4413 41 '5 i 76 t8o1 . June3 $ o69+5 65 22i 55 6 i 666+6 65 23 , 55 62 764 65 24 F i 55 6i653 67 Sept. 86 64 472 78 9r 64 64t 53 74 6 o 4 64i4 74 10o 58 64:6 72 70 12 o clock , 10 6 64 i , t 4 ' 10 From a review of the preceding Table it will be found , upon the whole , that when the water is warmer than the air , some increase of depression of the horizon may be expected ; but 7 that its quantity will be greatly influenced , and in general diminished , by dryness of the atmosphere .
21	Royal_Society_Corpus_open_v6.0_text_107066_1803.txt	pa_obl	warm/A	Water Difference . , Refraction . evaporation . meter , 1800 . Sept. i 57 69o 3 . I 4 ' 72 Oct. 17 46349 -3 3 72 22 38 49i2 : 13 67 Nov. i 41 445 ? ? 4i 8x8 76 4 4 : 4341 46 i . 3 3-72 5 37 45 88 + : i 69 12 2 44 -3 48 ? ? 2 4 ; i+32 73 13 4 i ? ? 4413 41 '5 i 76 t8o1 . June3 $ o69+5 65 22i 55 6 i 666+6 65 23 , 55 62 764 65 24 F i 55 6i653 67 Sept. 86 64 472 78 9r 64 64t 53 74 6 o 4 64i4 74 10o 58 64:6 72 70 12 o clock , 10 6 64 i , t 4 ' 10 From a review of the preceding Table it will be found , upon the whole , that when the water is warmer than the air , some increase of depression of the horizon may be expected ; but 7 that its quantity will be greatly influenced , and in general diminished , by dryness of the atmosphere .
22	Royal_Society_Corpus_open_v6.0_text_107094_1801.txt	chi_case	to/A	This solution of white muriate of iron , when exposed to the air , becomes green , and is then in the state of green muriate , well known .
22	Royal_Society_Corpus_open_v6.0_text_107094_1801.txt	chi_det	the/D	This solution of white muriate of iron , when exposed to the air , becomes green , and is then in the state of green muriate , well known .
22	Royal_Society_Corpus_open_v6.0_text_107094_1801.txt	pa_obl	expose/V	This solution of white muriate of iron , when exposed to the air , becomes green , and is then in the state of green muriate , well known .
23	Royal_Society_Corpus_open_v6.0_text_107094_1801.txt	chi_case	to/A	If this green muriate of iron is further exposed to the air , the liquor becomes red , but still gives a blackish green preciptate ; but , if it is boiled with nitric acid , it then is converted into a red liquor , which yields a red precipitate , by all the alkalis and earths capable of causing a precipitation .
23	Royal_Society_Corpus_open_v6.0_text_107094_1801.txt	chi_det	the/D	If this green muriate of iron is further exposed to the air , the liquor becomes red , but still gives a blackish green preciptate ; but , if it is boiled with nitric acid , it then is converted into a red liquor , which yields a red precipitate , by all the alkalis and earths capable of causing a precipitation .
23	Royal_Society_Corpus_open_v6.0_text_107094_1801.txt	pa_obl	expose/V	If this green muriate of iron is further exposed to the air , the liquor becomes red , but still gives a blackish green preciptate ; but , if it is boiled with nitric acid , it then is converted into a red liquor , which yields a red precipitate , by all the alkalis and earths capable of causing a precipitation .
24	Royal_Society_Corpus_open_v6.0_text_107094_1801.txt	chi_case	to/A	The liquor was , at first , of a very deep brown , approaching somevwhat to the tinge which water will receive , when strongly impregnated with the colouring matter of dried vegetable subsitances ; but , upon being exposed to the air , and boiled some time , it became like every other muriate of copper ; and a plate of polished iron precipitated 88 of metallic copper .
24	Royal_Society_Corpus_open_v6.0_text_107094_1801.txt	chi_det	the/D	The liquor was , at first , of a very deep brown , approaching somevwhat to the tinge which water will receive , when strongly impregnated with the colouring matter of dried vegetable subsitances ; but , upon being exposed to the air , and boiled some time , it became like every other muriate of copper ; and a plate of polished iron precipitated 88 of metallic copper .
24	Royal_Society_Corpus_open_v6.0_text_107094_1801.txt	pa_obl	expose/V	The liquor was , at first , of a very deep brown , approaching somevwhat to the tinge which water will receive , when strongly impregnated with the colouring matter of dried vegetable subsitances ; but , upon being exposed to the air , and boiled some time , it became like every other muriate of copper ; and a plate of polished iron precipitated 88 of metallic copper .
25	Royal_Society_Corpus_open_v6.0_text_107105_1801.txt	chi_case	to/A	On examination , the next evening , the upper part , which was exposed to the air , was very lucid ; but the underside , lying upon the paper , remained quite dark .
25	Royal_Society_Corpus_open_v6.0_text_107105_1801.txt	chi_det	the/D	On examination , the next evening , the upper part , which was exposed to the air , was very lucid ; but the underside , lying upon the paper , remained quite dark .
25	Royal_Society_Corpus_open_v6.0_text_107105_1801.txt	pa_obl	expose/V	On examination , the next evening , the upper part , which was exposed to the air , was very lucid ; but the underside , lying upon the paper , remained quite dark .
26	Royal_Society_Corpus_open_v6.0_text_109581_1800.txt	chi_case	to/A	There being great reason to conclude , that all the heat which a hot body loses when exposed to the air , is not given off to the air which comes into contact with it , but that a large proportion of it escapes in rays which do not heat the transparent medium through which they pass , but , like the rays of light , generate heat only then and there where they are intercepted and absorbed ; it may hence be concluded , that in general , as has been in particular observed in the foregoing experiments , the cooling of the instruments is in fact promoted by the coverings applied to their surfaces ; those coverings , considered as substances on which the rays impinge , being the means which in some way or other accelerate , or at least facilitate , the emission of calorific rays from the hot surfaces .
26	Royal_Society_Corpus_open_v6.0_text_109581_1800.txt	chi_det	the/D	There being great reason to conclude , that all the heat which a hot body loses when exposed to the air , is not given off to the air which comes into contact with it , but that a large proportion of it escapes in rays which do not heat the transparent medium through which they pass , but , like the rays of light , generate heat only then and there where they are intercepted and absorbed ; it may hence be concluded , that in general , as has been in particular observed in the foregoing experiments , the cooling of the instruments is in fact promoted by the coverings applied to their surfaces ; those coverings , considered as substances on which the rays impinge , being the means which in some way or other accelerate , or at least facilitate , the emission of calorific rays from the hot surfaces .
26	Royal_Society_Corpus_open_v6.0_text_109581_1800.txt	pa_obl	expose/V	There being great reason to conclude , that all the heat which a hot body loses when exposed to the air , is not given off to the air which comes into contact with it , but that a large proportion of it escapes in rays which do not heat the transparent medium through which they pass , but , like the rays of light , generate heat only then and there where they are intercepted and absorbed ; it may hence be concluded , that in general , as has been in particular observed in the foregoing experiments , the cooling of the instruments is in fact promoted by the coverings applied to their surfaces ; those coverings , considered as substances on which the rays impinge , being the means which in some way or other accelerate , or at least facilitate , the emission of calorific rays from the hot surfaces .
27	Royal_Society_Corpus_open_v6.0_text_109611_1800.txt	chi_case	in/A	The solar heat , when concentrated to the degree at which glass melts , does not render this oxide magnetic , provided it be protected by glass from the dust floating in the air ; if not so protected , many of the particles become magnetic .
27	Royal_Society_Corpus_open_v6.0_text_109611_1800.txt	chi_det	the/D	The solar heat , when concentrated to the degree at which glass melts , does not render this oxide magnetic , provided it be protected by glass from the dust floating in the air ; if not so protected , many of the particles become magnetic .
